Unique ID,Title,Authors-revised,Authors,Authors (Full Names)-revised,Authors (Full Names)
WOS:000474267400003,The National Cancer Institute Clinical Trials Planning Meeting for Prevention and Treatment of Chemotherapy-Induced Peripheral Neuropathy,"Dorsey, SG|Kleckner, IR|Barton, D|Mustian, K|O'Mara, A|St Germain, D|Cavaletti, G|Danhauer, SC|Hershman, DL|Hohmann, AG|Hoke, A|Hopkins, JO|Kelly, KP|Loprinzi, CL|McLeod, HL|Mohile, S|Paice, J|Rowland, JH|Salvemini, D|Segal, RA|Smith, EL|Stevens, WM|Janelsins, MC","Dorsey, SG|Kleckner, IR|Barton, D|Mustian, K|O'Mara, A|St Germain, D|Cavaletti, G|Danhauer, SC|Hershman, DL|Hohmann, AG|Hoke, A|Hopkins, JO|Kelly, KP|Loprinzi, CL|McLeod, HL|Mohile, S|Paice, J|Rowland, JH|Salvemini, D|Segal, RA|Smith, EL|Stevens, WM|Janelsins, MC","Dorsey, Susan G.|Kleckner, Ian R.|Barton, Debra|Mustian, Karen|O'Mara, Ann|St Germain, Diane|Cavaletti, Guido|Danhauer, Suzanne C.|Hershman, Dawn L.|Hohmann, Andrea G.|Hoke, Ahmet|Hopkins, Judith O.|Kelly, Katherine P.|Loprinzi, Charles L.|McLeod, Howard L.|Mohile, Supriya|Paice, Judith|Rowland, Julia H.|Salvemini, Daniela|Segal, Rosalind A.|Smith, Ellen Lavoie|Stevens, Worta McCaskill|Janelsins, Michelle C.","Dorsey, Susan G.|Kleckner, Ian R.|Barton, Debra|Mustian, Karen|O'Mara, Ann|St Germain, Diane|Cavaletti, Guido|Danhauer, Suzanne C.|Hershman, Dawn L.|Hohmann, Andrea G.|Hoke, Ahmet|Hopkins, Judith O.|Kelly, Katherine P.|Loprinzi, Charles L.|McLeod, Howard L.|Mohile, Supriya|Paice, Judith|Rowland, Julia H.|Salvemini, Daniela|Segal, Rosalind A.|Smith, Ellen Lavoie|Stevens, Worta McCaskill|Janelsins, Michelle C."
WOS:000470946100016,Self-administration of edible Delta(9)-tetrahydrocannabinol and associated behavioral effects in mice,"Smoker, MP|Mackie, K|Lapish, CC|Boehm, SL","Smoker, MP|Mackie, K|Lapish, CC|Boehm, SL","Smoker, Michael P.|Mackie, Ken|Lapish, Christopher C.|Boehm, Stephen L., II","Smoker, Michael P.|Mackie, Ken|Lapish, Christopher C.|Boehm, Stephen L., II"
WOS:000471197000019,"Public, health professional and legislator perspectives on the concept of psychiatric disease: a population-based survey","Tikkinen, KAO|Rutanen, J|Frances, A|Perry, BL|Dennis, BB|Agarwal, A|Maqbool, A|Ebrahim, S|Leinonen, JS|Jarvinen, TLN|Guyatt, GH","Tikkinen, KAO|Rutanen, J|Frances, A|Perry, BL|Dennis, BB|Agarwal, A|Maqbool, A|Ebrahim, S|Leinonen, JS|Jarvinen, TLN|Guyatt, GH","Tikkinen, Kari A. O.|Rutanen, Jarno|Frances, Allen|Perry, Brea L.|Dennis, Brittany B.|Agarwal, Arnav|Maqbool, Amna|Ebrahim, Shanil|Leinonen, Janne S.|Jarvinen, Teppo L. N.|Guyatt, Gordon H.","Tikkinen, Kari A. O.|Rutanen, Jarno|Frances, Allen|Perry, Brea L.|Dennis, Brittany B.|Agarwal, Arnav|Maqbool, Amna|Ebrahim, Shanil|Leinonen, Janne S.|Jarvinen, Teppo L. N.|Guyatt, Gordon H."
WOS:000470156100038,Visual Search Performance Does Not Relate to Autistic Traits in the General Population,"Perez, DL|Kennedy, DP|Tomalski, P|Bolte, S|D'Onofrio, B|Falck-Ytter, T","Perez, DL|Kennedy, DP|Tomalski, P|Bolte, S|D'Onofrio, B|Falck-Ytter, T","Lopez Perez, David|Kennedy, Daniel P.|Tomalski, Przemyslaw|Bolte, Sven|D'Onofrio, Brian|Falck-Ytter, Terje","Lopez Perez, David|Kennedy, Daniel P.|Tomalski, Przemyslaw|Bolte, Sven|D'Onofrio, Brian|Falck-Ytter, Terje"
WOS:000469188400002,The Association Between Condomless Anal Sex and Social Support Among Black Men Who Have Sex With Men (MSM) in Six US Cities: A Study Using Data from the HIV Prevention Trials Network BROTHERS Study (HPTN 061),"Hermanstyne, KA|Green, HD|Hong-Van Tieu|Hucks-Ortiz, C|Wilton, L|Shoptaw, S","Hermanstyne, KA|Green, HD|Hong-Van Tieu|Hucks-Ortiz, C|Wilton, L|Shoptaw, S","Hermanstyne, Keith A.|Green, Harold D., Jr.|Hong-Van Tieu|Hucks-Ortiz, Christopher|Wilton, Leo|Shoptaw, Steven","Hermanstyne, Keith A.|Green, Harold D., Jr.|Hong-Van Tieu|Hucks-Ortiz, Christopher|Wilton, Leo|Shoptaw, Steven"
WOS:000468963101137,"THE COMPOUNDING EFFECTS OF TRAUMA ON ALCOHOL USE: DO GENERAL TRAUMA, RACIAL DISCRIMINATION, AND GENDER DISCRIMINATION HAVE COMPOUNDING EFFECTS ON ALCOHOL USE?","Clifton, RL|Zapolski, TCB","Clifton, RL|Zapolski, TCB","Clifton, R. L.|Zapolski, T. C. B.","Clifton, R. L.|Zapolski, T. C. B."
WOS:000468963101136,EXAMINING THE INFLUENCE OF LOCUS OF CONTROL AS A MECHANISM TO EXPLAIN RISK FOR SUBSTANCE USE AS A CONSEQUENCE OF RACIAL DISCRIMINATION,"Khazvand, S|Zapolski, TCB","Khazvand, S|Zapolski, TCB","Khazvand, S.|Zapolski, T. C. B.","Khazvand, S.|Zapolski, T. C. B."
WOS:000468963101233,OPERANT ATTENTIONAL SET-SHIFTING IN HAP AND LAP MICE,"Millie, LA|Boehm, SL|Grahame, NJ","Millie, LA|Boehm, SL|Grahame, NJ","Millie, L. A.|Boehm, S. L.|Grahame, N. J.","Millie, L. A.|Boehm, S. L.|Grahame, N. J."
WOS:000468963101232,LINE AND SEX DIFFERENCES IN TWO-BOTTLE CHOICE ALCOHOL-CAFFEINE PREFERENCE DRINKING,"Vigil, D|Boehm, SL","Vigil, D|Boehm, SL","Vigil, D.|Boehm, S. L., II","Vigil, D.|Boehm, S. L., II"
WOS:000468963102207,"SYSTEMIC ADMINISTRATION OF THE AMPA RECEPTOR ANTAGONIST, NBQX, ON BINGE-LIKE ALCOHOL CONSUMPTION IN C57BL/6J MICE","Garcy, DP|Watson, MR|Boehm, SL","Garcy, DP|Watson, MR|Boehm, SL","Garcy, D. P.|Watson, M. R.|Boehm, S. L., II","Garcy, D. P.|Watson, M. R.|Boehm, S. L., II"
WOS:000468963102212,BLOCKADE OF STRIATAL DOPAMINE D1 RECEPTORS REDUCES QUININE-RESISTANT ALCOHOL INTAKE,"Houck, CA|Boehm, SL|Grahame, NJ","Houck, CA|Boehm, SL|Grahame, NJ","Houck, C. A.|Boehm, S. L., II|Grahame, N. J.","Houck, C. A.|Boehm, S. L., II|Grahame, N. J."
WOS:000468963103254,LONGITUDINAL EFFECTS OF ALCOHOL USE ON IDENTIFIABILITY IN RESTING-STATE FUNCTIONAL CONNECTOMES,"Um, M|Abbas, K|Goni, J|Cyders, MA","Um, M|Abbas, K|Goni, J|Cyders, MA","Um, M.|Abbas, K.|Goni, J.|Cyders, M. A.","Um, M.|Abbas, K.|Goni, J.|Cyders, M. A."
WOS:000468963103281,THE ROLE OF DEPRESSION IN SUBSTANCE USE TREATMENT FREQUENCY AND DURATION,"Argyriou, E|Wu, W|Cyders, MA","Argyriou, E|Wu, W|Cyders, MA","Argyriou, E.|Wu, W.|Cyders, M. A.","Argyriou, E.|Wu, W.|Cyders, M. A."
WOS:000468963103304,ADOLESCENT CONDUCT BEHAVIOR AND ADULT PROBLEM ALCOHOL USE: MEDIATING EFFECT OF PAST-YEAR TRAUMA,"Rowe, AT|Zapolski, TCB","Rowe, AT|Zapolski, TCB","Rowe, A. T.|Zapolski, T. C. B.","Rowe, A. T.|Zapolski, T. C. B."
WOS:000468963104187,NEUROINFLAMMATION AND THE NEUROTOXIC INTERACTIONS BETWEEN ETHANOL DRINKING AND METHAMPHETAMINE EXPOSURE,"Yamamoto, BK|Blaker, AL|Rodriguez, EA","Yamamoto, BK|Blaker, AL|Rodriguez, EA","Yamamoto, B. K.|Blaker, A. L.|Rodriguez, E. A.","Yamamoto, B. K.|Blaker, A. L.|Rodriguez, E. A."
WOS:000468375300006,Creation of a Decision Support Tool for Expectant Parents Facing Threatened Periviable Delivery: Application of a User-Centered Design Approach,"Edmonds, BT|Hoffman, SM|Lynch, D|Jeffries, E|Jenkins, K|Wiehe, S|Bauer, N|Kuppermann, M","Edmonds, BT|Hoffman, SM|Lynch, D|Jeffries, E|Jenkins, K|Wiehe, S|Bauer, N|Kuppermann, M","Edmonds, Brownsyne Tucker|Hoffman, Shelley M.|Lynch, Dustin|Jeffries, Erin|Jenkins, Kelli|Wiehe, Sarah|Bauer, Nerissa|Kuppermann, Miriam","Edmonds, Brownsyne Tucker|Hoffman, Shelley M.|Lynch, Dustin|Jeffries, Erin|Jenkins, Kelli|Wiehe, Sarah|Bauer, Nerissa|Kuppermann, Miriam"
WOS:000467577800012,Pharmaceutical payments to physicians may increase prescribing for opioids,"Nguyen, TD|Bradford, WD|Simon, KI","Nguyen, TD|Bradford, WD|Simon, KI","Nguyen, Thuy D.|Bradford, W. David|Simon, Kosali, I","Nguyen, Thuy D.|Bradford, W. David|Simon, Kosali, I"
WOS:000471383400001,Help seeking attitudes and illegal drug use among methadone maintenance therapy patients in Malaysia,"Cheong, KH|Vaughan, EL|Lau, PL|Gonzalez, N","Cheong, KH|Vaughan, EL|Lau, PL|Gonzalez, N","Cheong, Kar Hui|Vaughan, Ellen L.|Lau, Poh Li|Gonzalez, Nayely","Cheong, Kar Hui|Vaughan, Ellen L.|Lau, Poh Li|Gonzalez, Nayely"
WOS:000468755400001,Integrating Preclinical and Clinical Models of Negative Urgency,"Halcomb, M|Argyriou, E|Cyders, MA","Halcomb, M|Argyriou, E|Cyders, MA","Halcomb, Meredith|Argyriou, Evangelia|Cyders, Melissa A.","Halcomb, Meredith|Argyriou, Evangelia|Cyders, Melissa A."
WOS:000469245200004,Measuring characteristics of e-cigarette consumption among college students,"Wong, SW|Lin, HC|Piper, ME|Siddiqui, A|Buu, A","Wong, SW|Lin, HC|Piper, ME|Siddiqui, A|Buu, A","Wong, Su-Wei|Lin, Hsien-Chang|Piper, Megan E.|Siddiqui, Adam|Buu, Anne","Wong, Su-Wei|Lin, Hsien-Chang|Piper, Megan E.|Siddiqui, Adam|Buu, Anne"
WOS:000463827500009,Poly-use of cannabis and other substances among juvenile-justice involved youth: variations in psychological and substance-related problems by typology,"Banks, DE|Hershberger, AR|Pemberton, T|Clifton, RL|Aalsma, MC|Zapolski, TCB","Banks, DE|Hershberger, AR|Pemberton, T|Clifton, RL|Aalsma, MC|Zapolski, TCB","Banks, Devin E.|Hershberger, Alexandra R.|Pemberton, Taylor|Clifton, Richelle L.|Aalsma, Matthew C.|Zapolski, Tamika C. B.","Banks, Devin E.|Hershberger, Alexandra R.|Pemberton, Taylor|Clifton, Richelle L.|Aalsma, Matthew C.|Zapolski, Tamika C. B."
WOS:000474369600005,Controlling Measles through Politics and Policy,"Silverman, RD","Silverman, RD","Silverman, Ross D.","Silverman, Ross D."
WOS:000468258300009,Cannabinoid CB2R receptors are upregulated with corneal injury and regulate the course of corneal wound healing,"Murataeva, N|Miller, S|Dhopeshwarkar, A|Leishman, E|Daily, L|Taylor, X|Monon, B|Lashmet, M|Bradshaw, H|Hillard, CJ|Romero, J|Straiker, A","Murataeva, N|Miller, S|Dhopeshwarkar, A|Leishman, E|Daily, L|Taylor, X|Monon, B|Lashmet, M|Bradshaw, H|Hillard, CJ|Romero, J|Straiker, A","Murataeva, Natalia|Miller, Sally|Dhopeshwarkar, Amey|Leishman, Emma|Daily, Laura|Taylor, Xavier|Monon, Brian|Lashmet, Matthew|Bradshaw, Heather|Hillard, Cecilia J.|Romero, Julian|Straiker, Alex","Murataeva, Natalia|Miller, Sally|Dhopeshwarkar, Amey|Leishman, Emma|Daily, Laura|Taylor, Xavier|Monon, Brian|Lashmet, Matthew|Bradshaw, Heather|Hillard, Cecilia J.|Romero, Julian|Straiker, Alex"
WOS:000467560700379,DEPRESSION AS A POTENTIAL RISK FACTOR FOR CARDIOVASCULAR DISEASE IN PEOPLE WITH HIV: A SYSTEMATIC REVIEW,"Polanka, BM|Zapolski, TCB|Hirsh, AT|Gupta, SK|Freiberg, MS|So-Armah, KA","Polanka, BM|Zapolski, TCB|Hirsh, AT|Gupta, SK|Freiberg, MS|So-Armah, KA","Polanka, Brittanny M.|Zapolski, Tamika C. B.|Hirsh, Adam T.|Gupta, Samir K.|Freiberg, Matthew S.|So-Armah, Kaku A.","Polanka, Brittanny M.|Zapolski, Tamika C. B.|Hirsh, Adam T.|Gupta, Samir K.|Freiberg, Matthew S.|So-Armah, Kaku A."
WOS:000467491200015,Association of Fetal Growth With General and Specific Mental Health Conditions,"Pettersson, E|Larsson, H|D'Onofrio, B|Almqvist, C|Lichtenstein, P","Pettersson, E|Larsson, H|D'Onofrio, B|Almqvist, C|Lichtenstein, P","Pettersson, Erik|Larsson, Henrik|D'Onofrio, Brian|Almqvist, Catarina|Lichtenstein, Paul","Pettersson, Erik|Larsson, Henrik|D'Onofrio, Brian|Almqvist, Catarina|Lichtenstein, Paul"
WOS:000467472900007,"Peer Victimization, Mood Symptoms, and Alcohol Use: Examining Effects among Diverse High School Youth","Rowe, AT|Zapolski, TCB|Hensel, DJ|Fisher, S|Barnes-Najor, J","Rowe, AT|Zapolski, TCB|Hensel, DJ|Fisher, S|Barnes-Najor, J","Rowe, Alia T.|Zapolski, Tamika C. B.|Hensel, Devon J.|Fisher, Sycarah|Barnes-Najor, Jessica","Rowe, Alia T.|Zapolski, Tamika C. B.|Hensel, Devon J.|Fisher, Sycarah|Barnes-Najor, Jessica"
WOS:000466506200007,Quantifying Unmet Need in Statin-Treated Hyperlipidemia Patients and the Potential Benefit of Further LDL-C Reduction Through an EHR-Based Retrospective Cohort Study,"Schleyer, T|Hui, S|Wang, J|Zhang, ZY|Knapp, K|Baker, J|Chase, M|Boggs, R|Simpson, RJ","Schleyer, T|Hui, S|Wang, J|Zhang, ZY|Knapp, K|Baker, J|Chase, M|Boggs, R|Simpson, RJ","Schleyer, Titus|Hui, Siu|Wang, Jane|Zhang, Zuoyi|Knapp, Kristina|Baker, Jarod|Chase, Monica|Boggs, Robert|Simpson, Ross J., Jr.","Schleyer, Titus|Hui, Siu|Wang, Jane|Zhang, Zuoyi|Knapp, Kristina|Baker, Jarod|Chase, Monica|Boggs, Robert|Simpson, Ross J., Jr."
WOS:000466257900029,Mental health care and the cultural toolboxes of the present-day Japanese population: Examining suggested patterns of care and their correlates,"Kikuzawa, S|Pescosolido, B|Kasahara-Kiritani, M|Matoba, T|Yamaki, C|Sugiyama, K","Kikuzawa, S|Pescosolido, B|Kasahara-Kiritani, M|Matoba, T|Yamaki, C|Sugiyama, K","Kikuzawa, Saeko|Pescosolido, Bernice|Kasahara-Kiritani, Mami|Matoba, Tomoko|Yamaki, Chikako|Sugiyama, Katsumi","Kikuzawa, Saeko|Pescosolido, Bernice|Kasahara-Kiritani, Mami|Matoba, Tomoko|Yamaki, Chikako|Sugiyama, Katsumi"
WOS:000465177100010,Preliminary support for the role of alcohol cues in food cravings and attentional biases,"Karyadi, KA|Cyders, MA","Karyadi, KA|Cyders, MA","Karyadi, Kenny A.|Cyders, Melissa A.","Karyadi, Kenny A.|Cyders, Melissa A."
WOS:000464725900014,Prescription Contraceptive Sales Following the Affordable Care Act,"Bullinger, LR|Simon, K","Bullinger, LR|Simon, K","Bullinger, Lindsey Rose|Simon, Kosali","Bullinger, Lindsey Rose|Simon, Kosali"
WOS:000461893800036,Impact of socioeconomic markers on parents' retention of pediatric oncology home care education: A pilot study,"Hentea, C|Downs, SM|Tucker Edmonds, B|Vik, T|Wiehe, SE|Cheng, ER","Hentea, C|Downs, SM|Tucker Edmonds, B|Vik, T|Wiehe, SE|Cheng, ER","Hentea, Cristiana|Downs, Stephen M.|Tucker Edmonds, Brownsyne|Vik, Terry|Wiehe, Sarah E.|Cheng, Erika R.","Hentea, Cristiana|Downs, Stephen M.|Tucker Edmonds, Brownsyne|Vik, Terry|Wiehe, Sarah E.|Cheng, Erika R."
WOS:000468863600001,A consensus guide to capturing the ability to inhibit actions and impulsive behaviors in the stop-signal task,"Verbruggen, F|Aron, AR|Band, GPH|Beste, C|Bissett, PG|Brockett, AT|Brown, JW|Chamberlain, SR|Chambers, CD|Colonius, H|Colzato, LS|Corneil, BD|Coxon, JP|Dupuis, A|Eagle, DM|Garavan, H|Greenhouse, I|Heathcote, A|Huster, RJ|Jahfari, S|Kenemans, JL|Leunissen, I|Li, CSR|Logan, GD|Matzke, D|Morein-Zamir, S|Murthy, A|Pare, M|Poldrack, RA|Ridderinkhof, KR|Robbins, TW|Roesch, MR|Rubia, K|Schachar, RJ|Schall, JD|Stock, AK|Swann, NC|Thakkar, KN|van der Molen, MW|Vermeylen, L|Vink, M|Wessel, JR|Whelan, R|Zandbelt, BB|Boehler, CN","Verbruggen, F|Aron, AR|Band, GPH|Beste, C|Bissett, PG|Brockett, AT|Brown, JW|Chamberlain, SR|Chambers, CD|Colonius, H|Colzato, LS|Corneil, BD|Coxon, JP|Dupuis, A|Eagle, DM|Garavan, H|Greenhouse, I|Heathcote, A|Huster, RJ|Jahfari, S|Kenemans, JL|Leunissen, I|Li, CSR|Logan, GD|Matzke, D|Morein-Zamir, S|Murthy, A|Pare, M|Poldrack, RA|Ridderinkhof, KR|Robbins, TW|Roesch, MR|Rubia, K|Schachar, RJ|Schall, JD|Stock, AK|Swann, NC|Thakkar, KN|van der Molen, MW|Vermeylen, L|Vink, M|Wessel, JR|Whelan, R|Zandbelt, BB|Boehler, CN","Verbruggen, Frederick|Aron, Adam R.|Band, Guido P. H.|Beste, Christian|Bissett, Patrick G.|Brockett, Adam T.|Brown, Joshua W.|Chamberlain, Samuel R.|Chambers, Christopher D.|Colonius, Hans|Colzato, Lorenza S.|Corneil, Brian D.|Coxon, James P.|Dupuis, Annie|Eagle, Dawn M.|Garavan, Hugh|Greenhouse, Ian|Heathcote, Andrew|Huster, Rene J.|Jahfari, Sara|Kenemans, J. Leon|Leunissen, Inge|Li, Chiang-Shan R.|Logan, Gordon D.|Matzke, Dora|Morein-Zamir, Sharon|Murthy, Aditya|Pare, Martin|Poldrack, Russell A.|Ridderinkhof, K. Richard|Robbins, Trevor W.|Roesch, Matthew R.|Rubia, Katya|Schachar, Russell J.|Schall, Jeffrey D.|Stock, Ann-Kathrin|Swann, Nicole C.|Thakkar, Katharine N.|van der Molen, Maurits W.|Vermeylen, Luc|Vink, Matthijs|Wessel, Jan R.|Whelan, Robert|Zandbelt, Bram B.|Boehler, C. Nico","Verbruggen, Frederick|Aron, Adam R.|Band, Guido P. H.|Beste, Christian|Bissett, Patrick G.|Brockett, Adam T.|Brown, Joshua W.|Chamberlain, Samuel R.|Chambers, Christopher D.|Colonius, Hans|Colzato, Lorenza S.|Corneil, Brian D.|Coxon, James P.|Dupuis, Annie|Eagle, Dawn M.|Garavan, Hugh|Greenhouse, Ian|Heathcote, Andrew|Huster, Rene J.|Jahfari, Sara|Kenemans, J. Leon|Leunissen, Inge|Li, Chiang-Shan R.|Logan, Gordon D.|Matzke, Dora|Morein-Zamir, Sharon|Murthy, Aditya|Pare, Martin|Poldrack, Russell A.|Ridderinkhof, K. Richard|Robbins, Trevor W.|Roesch, Matthew R.|Rubia, Katya|Schachar, Russell J.|Schall, Jeffrey D.|Stock, Ann-Kathrin|Swann, Nicole C.|Thakkar, Katharine N.|van der Molen, Maurits W.|Vermeylen, Luc|Vink, Matthijs|Wessel, Jan R.|Whelan, Robert|Zandbelt, Bram B.|Boehler, C. Nico"
WOS:000465885300001,The Role of Pregnancy Concerns in the Relationship between Substance Use and Unprotected Sex among Adolescents,"Dir, AL|Hulvershorn, LA|Aalsma, MC","Dir, AL|Hulvershorn, LA|Aalsma, MC","Dir, Allyson L.|Hulvershorn, Leslie A.|Aalsma, Matthew C.","Dir, Allyson L.|Hulvershorn, Leslie A.|Aalsma, Matthew C."
WOS:000463314500019,Gains in health insurance coverage explain variation in Democratic vote share in the 2008-2016 presidential elections,"Hollingsworth, A|Soni, A|Carroll, AE|Cawley, J|Simon, K","Hollingsworth, A|Soni, A|Carroll, AE|Cawley, J|Simon, K","Hollingsworth, Alex|Soni, Aparna|Carroll, Aaron E.|Cawley, John|Simon, Kosali","Hollingsworth, Alex|Soni, Aparna|Carroll, Aaron E.|Cawley, John|Simon, Kosali"
