Abstract,Associated Group,Author Identifiers,Authors,Authors (Full Names),Beginning Page,BIOSIS Citation Index,Book Author,Book Author Fullname,Book DOI,Book Group Authors,Book Series Subtitle,Book Series Title,Chinese Science Citation DB,Cited Patent,Cited Reference Count,Cited References,City of Publisher,Conference Dates,Conference Host,Conference Location,Conference Sponsors,Conference Title,Document Type,DOI,E-mail Addresses,Edited by,Editors,Ending Page,File Type,Funding Agency and Grant Number,Funding Text,Group Authors,ISBN,ISI Document Delivery Number,ISSN,Issue,Journal Name (Abbreviated ISO),Journal Name (Abbreviated),Journal Title (Full),Language,Meeting Abstract,New Article Number,New ISI Keywords,Number of Pages,ORCID Number,Original Keywords,Part Number,Publication Date,Publication Type,Publication Year,Publisher,Publisher Address,Publisher Web Address,Reprint Address,Research Addresses,Research Field,Researcher ID,SC:ELO Citation Index,Special Issue,Subject Category,Supplement,Times Cited,Title,Total Times Cited,Translated Title,Unique ID,Version Number,Volume,EI,PM,File Name,Cite Me As
"Objective: The authors sought to determine the risk of treatment-emergent mania associated with methylphenidate, used in monotherapy or with a concomitant mood-stabilizing medication, in patients with bipolar disorder. Method: Using linked Swedish national registries, the authors identified 2,307 adults with bipolar disorder who initiated therapy with methylphenidate between 2006 and 2014. The cohort was divided into two groups: those with and those without concomitant mood-stabilizing treatment. To adjust for individual-specific confounders, including disorder severity, genetic makeup, and early environmental factors, Cox regression analyses were used, conditioning on individual to compare the rate of mania (defined as hospitalization for mania or a new dispensation of stabilizing medication) 0-3 months and 3-6 months after medication start following nontreated periods. Results: Patients on methylphenidate monotherapy displayed an increased rate of manic episodes within 3 months of medication initiation (hazard ratio=6.7, 95% CI=2.0-22.4), with similar results for the subsequent 3 months. By contrast, for patients taking mood stabilizers, the risk of mania was lower after starting methylphenidate (hazard ratio=0.6, 95% CI=0.4-0.9). Comparable results were observed when only hospitalizations for mania were counted. Conclusions: No evidence was found for a positive association betweenmethylphenidate and treatment-emergent mania among patients with bipolar disorder who were concomitantly receiving a mood-stabilizing medication. This is clinically important given that up to 20% of people with bipolar disorder suffer from comorbid ADHD. Given the markedly increased hazard ratio of mania following methylphenidate initiation in bipolar patients not taking mood stabilizers, careful assessment to rule out bipolar disorder is indicated before initiating monotherapy with psychostimulants.",,"Magnusson, Patrik/C-4458-2017","Almqvist, C|Chang, Z|D'Onofrio, BM|Landen, M|Larsson, H|Lichtenstein, P|Lundholm, C|Magnusson, PKE|Ryden, E|Thase, ME|Viktorin, A","Almqvist, Catarina|Chang, Zheng|D'Onofrio, Brian M.|Landen, Mikael|Larsson, Henrik|Lichtenstein, Paul|Lundholm, Cecilia|Magnusson, Patrik K. E.|Ryden, Eleonore|Thase, Michael E.|Viktorin, Alexander",341,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1176/appi.ajp.2016.16040467,,,,348,Clarivate Analytics Web of Science,,,,,,0002-953X,4,,,AMERICAN JOURNAL OF PSYCHIATRY,,,,DEFICIT-HYPERACTIVITY DISORDER|ATTENTION-DEFICIT/HYPERACTIVITY-DISORDER|COMORBID ADHD|ANTIDEPRESSANT|ADULTS|PREVALENCE|REGISTER|ADOLESCENTS|ATOMOXETINE|STIMULANTS,-1,"Magnusson, Patrik/0000-0002-7315-7899; Viktorin, Alexander/0000-0003-2141-2816",,,APR,J,2017,,,,,,Psychiatry,,-1,,Psychiatry,,8,The Risk of Treatment-Emergent Mania With Methylphenidate in Bipolar Disorder,8,,WOS:000397921800010,1,174,1535-7228,27690517,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Viktorin A, 2017, V174, P341, DOI 10.1176/appi.ajp.2016.16040467"
,,,"D'Onofrio, BM|Holtzworth-Munroe, A|Rudd, BN","D'Onofrio, Brian M.|Holtzworth-Munroe, Amy|Rudd, Brittany N.",A15,-1,,,,,,,-1,,-1,,,"JUN 03-07, 2017",,"Boston, MA",,31st Annual Meeting of the Associated-Professional-Sleep-Societies (APSS),Meeting Abstract,10.1093/sleepj/zsx050.038,,,,A15,Clarivate Analytics Web of Science,,,,,,1550-9109,,,,SLEEP,,39,,,-1,,,,APR,J,2017,,,,,,Clinical Neurology|Neurosciences,,-1,,Neurosciences & Neurology,1,0,PARENTAL RELATIONSHIP DISSOLUTIONS AND CHILD DEVELOPMENT: THE ROLE OF POOR SLEEP,0,,WOS:000433175000040,1,40,,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Rudd BN, 2017, V40, A15, DOI 10.1093/sleepj/zsx050.038"
"Introduction: Alcohol expectancies are important determinants and predictors of adolescent alcohol use. Research with African Americans has shown that the endorsement of positive alcohol expectancies differs from that of Whites during childhood and predicts different alcohol outcomes during young adulthood. However, limited research has explored racial differences in the relationship between expectancy endorsement and alcohol use in school-aged adolescents. The current study examines the effect of White or African American race on the relationship between positive alcohol expectancies and alcohol use. Methods: Participants were 104 adolescents ages 12-18 who identified as either non-Hispanic White or non Hispanic African American. Participants completed self-report measures of alcohol consumption and positive social alcohol expectancies. Results: Preliminary analyses revealed no racial differences in alcohol expectancies or consumption. However, race moderated the relationship between alcohol expectancies and alcohol use such that more positive expectancies predicted alcohol use among White youth, but not African American youth. Conclusions: These results suggest that alcohol expectancies, which were thought to be important mediators of the relationship between social and personality factors and adolescent alcohol use may not be as impactful for African Americans. Future research should focus on identifying factors posing unique risk for alcohol consumption in this population. (C) 2016 Elsevier Ltd. All rights reserved.",,,"Banks, DE|Zapolski, TCB","Banks, Devin E.|Zapolski, Tamika C. B.",34,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.addbeh.2016.12.005,,,,37,Clarivate Analytics Web of Science,,,,,,0306-4603,,,,ADDICTIVE BEHAVIORS,,,,ELEMENTARY-SCHOOL-CHILDREN|SUBSTANCE USE|RACIAL/ETHNIC DIFFERENCES|BEHAVIOR|AGE|CHILDHOOD|MEMORY|ONSET|RISK|DISCRIMINATION,-1,"Banks, Devin/0000-0003-2569-0952",Alcohol expectancies|Racial differences|Adolescent drinking,,APR,J,2017,,,,,,"Psychology, Clinical|Substance Abuse",,-1,,Psychology; Substance Abuse,,1,Racial differences in the link between alcohol expectancies and adolescent drinking,1,,WOS:000393004200006,1,67,1873-6327,27988414,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Banks DE, 2017, V67, P34, DOI 10.1016/j.addbeh.2016.12.005"
"This study was conducted to determine the feasibility of survey and interview research exploring views on sexual wellness among married individuals within the Latter Day Saint (LDS) faith community. Participants were asked questions about demographics, marital satisfaction, religious practice, sexual health and sexual satisfaction. Feasibility was measured by the expression of choice related to study participation: (1) electing to participate, (2) initiating participation, (3) selection of study engagement method, and (4) completion of each method. The sample included Utah residents married within the LDS faith, irrespective of whether currently practicing. Interested participants were given the option to volunteer through an anonymous online survey or interview. The majority (89.1) preferred to participate anonymously, and fully completed the online survey. Participants completed the full questionnaire despite being asked about ""taboo"" topics, such as with questions regarding sexual satisfaction. We concluded that it appears feasible to conduct sexual health research among individuals married within the LDS faith. This was the first empirical feasibility examination of sexual health studies among married Latter Day Saints. Future studies should continue to examine sexual health, while noting current church participation, and type of marriage, as this information seems to be essential when discussing sexual health with LDS married persons.",,,"Francis, H|Meyerson, BE","Francis, Heather|Meyerson, Beth E.",49,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1007/s12119-016-9378-6,,,,61,Clarivate Analytics Web of Science,,,,,,1095-5143,1,,,SEXUALITY AND CULTURE,,,,MARITAL SATISFACTION|JESUS-CHRIST|RELIGION|BENEFITS|MORMONS|CHURCH|FAMILY|UTAH,-1,,Sexual health|LDS|Mormon|Feasibility|Marriage,,MAR,J,2017,,,,,,"Social Sciences, Interdisciplinary",,-1,,Social Sciences - Other Topics,,0,"If You Build It, They Will Come: Feasibility of Sexual Health Research Among Individuals Married Within the Latter Day Saint Faith",0,,WOS:000411933600004,1,21,1936-4822,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Francis H, 2017, V21, P49, DOI 10.1007/s12119-016-9378-6"
"This pilot study was designed to measure teamwork and the relationship of teamwork to patient perceptions of care among 63 members of 12 oncology teams at a Cancer Centre in the Midwest. Lack of teamwork in cancer care can result in serious clinical errors, fragmentation of care, and poor quality of care. Many oncology team members, highly skilled in clinical care, are not trained to work effectively as members of a care team. The research team administered the Relational Coordination survey to core oncology team membersmedical oncologists, nurse coordinators, and clinical secretariesto measure seven dimensions of team skills (four relating to communication [frequency, timeliness, accuracy, and problem solving] and three relating to relationship [shared goals, shared knowledge, and mutual respect]) averaged to create a Relational Coordination Index. The results indicated that among the team member roles, nurse coordinator relational coordination indices were the strongest and most positively correlated with patient perception of care. Statistically significant correlations were intra-nurse coordinator relational coordination indices and two patient perception of care factors (information and education and patient's preferences). All other nurse coordinator intra-role as well as inter-role correlations were also positively correlated, although not statistically significant.",,,"Azar, JM|Cottingham, AH|Frame, AM|Johnson, CS|Litzelman, DK|Perkins, SM","Azar, Jose M.|Cottingham, Ann H.|Frame, Amie M.|Johnson, Cynthia S.|Litzelman, Debra K.|Perkins, Susan M.",273,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1080/13561820.2016.1248815,,,,276,Clarivate Analytics Web of Science,,,,,,1356-1820,2,,,JOURNAL OF INTERPROFESSIONAL CARE,,,,TEAMWORK,-1,,Interprofessional practice|patients' perception of care|relational coordination|teamwork,,MAR,J,2017,,,,,,Health Care Sciences & Services|Health Policy & Services,,-1,,Health Care Sciences & Services,,1,Evaluation of interprofessional relational coordination and patients' perception of care in outpatient oncology teams,1,,WOS:000395098400021,1,31,1469-9567,27936991,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Azar JM, 2017, V31, P273, DOI 10.1080/13561820.2016.1248815"
"We reviewed research regarding system-and visit-level strategies to enhance clinical preventive service delivery and quality for adolescents and young adults. Despite professional consensus on recommended services for adolescents, a strong evidence base for services for young adults, and improved financial access to services with the Affordable Care Act's provisions, receipt of preventive services remains suboptimal. Further research that builds off successful models of linking traditional and community clinics is needed to improve access to care for all youth. To optimize the clinical encounter, promising clinician-focused strategies to improve delivery of preventive services include screening and decision support tools, particularly when integrated into electronic medical record systems and supported by training and feedback. Although results have been mixed, interventions have moved beyond increasing service delivery to demonstrating behavior change. Research on emerging technologydsuch as gaming platforms, mobile phone applications, and wearable devicesdsuggests opportunities to expand clinicians' reach; however, existing research is based on limited clinical settings and populations. Improved monitoring systems and further research are needed to examine preventive services facilitators and ensure that interventions are effective across the range of clinical settings where youth receive preventive care, across multiple populations, including young adults, and for more vulnerable populations with less access to quality care. (C) 2016 Society for Adolescent Health and Medicine.",,,"Aalsma, MC|Garcia-Huidobro, D|Hadland, SE|Harris, SK|Ozer, EM|Park, MJ|Santelli, J|Weitzman, ER|Wong, C","Aalsma, Matthew C.|Garcia-Huidobro, Diego|Hadland, Scott E.|Harris, Sion K.|Ozer, Elizabeth M.|Park, M. Jane|Santelli, John|Weitzman, Elissa R.|Wong, Charlene",249,-1,,,,,,,-1,,-1,,,,,,,,Review,10.1016/j.jadohealth.2016.10.005,,,,260,Clarivate Analytics Web of Science,,,,,,1054-139X,3,,,JOURNAL OF ADOLESCENT HEALTH,,,,RANDOMIZED CONTROLLED-TRIAL|ELECTRONIC HEALTH RECORDS|DECISION-SUPPORT-SYSTEMS|AFFORDABLE CARE ACT|HUMAN-IMMUNODEFICIENCY-VIRUS|SEXUALLY-TRANSMITTED-DISEASES|PHYSICAL-ACTIVITY|BEHAVIOR-CHANGE|UNITED-STATES|MENTAL-HEALTH,-1,,Preventive services|Adolescents|Young adults,,MAR,J,2017,,,,,,"Psychology, Developmental|Public, Environmental & Occupational Health|Pediatrics",,-1,,"Psychology; Public, Environmental & Occupational Health; Pediatrics",,10,Research on Clinical Preventive Services for Adolescents and Young Adults: Where Are We and Where Do We Need to Go?,10,,WOS:000397270900006,1,60,1879-1972,28011064,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Harris SK, 2017, V60, P249, DOI 10.1016/j.jadohealth.2016.10.005"
"Purpose: Guidelines recommend surgical antibiotic prophylaxis for cleancontaminated procedures but none for clean procedures. The purpose of this study was to describe variations in surgical antibiotic prophylaxis for outpatient urological procedures at United States children's hospitals. Materials and Methods: Using the PHIS (Pediatric Health Information System (R)) database we performed a retrospective cohort study of patients younger than 18 years who underwent clean and/or clean-contaminated outpatient urological procedures from 2012 to 2014. We excluded those with concurrent nonurological procedures or an abscess/infected wound. We compared perioperative antibiotic charges for clean vs clean-contaminated procedures using a multilevel logistic regression model with a random effect for hospital. We also examined whether hospitals that were guideline compliant for clean procedures, defined as no surgical antibiotic prophylaxis, were also compliant for clean-contaminated procedures using the Pearson correlation coefficient. We examined hospital level variation in antibiotic rates using the coefficient of variation. Results: A total of 131,256 patients with a median age of 34 months at 39 hospitals met study inclusion criteria. Patients undergoing clean procedures were 14% less likely to receive guideline compliant surgical antibiotic prophylaxis than patients undergoing clean-contaminated procedures (OR 0.86, 95% CI 0.84e0.88, p < 0.0001). Hospitals that used antibiotics appropriately for clean-contaminated procedures were more likely to use antibiotics inappropriately for clean procedures (r = 0.7, p = 0.01). Greater variation was seen for hospital level compliance with surgical antibiotic prophylaxis for clean-contaminated procedures (range 9.8% to 97.8%, coefficient of variation 0.36) than for clean procedures (range 35.0% to 98.2%, coefficient of variation 0.20). Conclusions: Hospitals that used surgical antibiotic prophylaxis appropriately for clean-contaminated procedures were likely to use surgical antibiotic prophylaxis inappropriately for clean procedures. More variation was seen in hospital level guideline compliance for clean-contaminated procedures.",,,"Bell, TM|Benneyworth, BD|Cain, M|Carroll, AE|Chan, KH","Bell, Teresa M.|Benneyworth, Brian D.|Cain, Mark|Carroll, Aaron E.|Chan, Katherine H.",944,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.juro.2016.08.115,,,,949,Clarivate Analytics Web of Science,,,,,,0022-5347,3,,,JOURNAL OF UROLOGY,,,,ANTIMICROBIAL PROPHYLAXIS|SURGERY|CARE|INFECTIONS|COLONIZATION|STRATEGIES|PREVENT|INFANTS|TRENDS,-1,,urology|practice patterns|physician's|antibiotic prophylaxis|pediatrics|outpatients,2,MAR,J,2017,,,,,,Urology & Nephrology,,-1,,Urology & Nephrology,,3,Variation in Surgical Antibiotic Prophylaxis for Outpatient Pediatric Urological Procedures at United States Children's Hospitals,3,,WOS:000396060000042,1,197,1527-3792,27821262,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Chan KH, 2017, V197, P944, DOI 10.1016/j.juro.2016.08.115"
"Elucidating how life history traits vary geographically is important to understanding variation in population dynamics. Because many aspects of ectotherm life history are climate-dependent, geographic variation in climate is expected to have a large impact on population dynamics through effects on annual survival, body size, growth rate, age at first reproduction, size-fecundity relationship, and reproductive frequency. The Eastern Massasauga (Sistrurus catenatus) is a small, imperiled North American rattlesnake with a distribution centered on the Great Lakes region, where lake effects strongly influence local conditions. To address Eastern Massasauga life history data gaps, we compiled data from 47 study sites representing 38 counties across the range. We used multimodel inference and general linear models with geographic coordinates and annual climate normals as explanatory variables to clarify patterns of variation in life history traits. We found strong evidence for geographic variation in six of nine life history variables. Adult female snout-vent length and neonate mass increased with increasing mean annual precipitation. Litter size decreased with increasing mean temperature, and the size-fecundity relationship and growth prior to first hibernation both increased with increasing latitude. The proportion of gravid females also increased with increasing latitude, but this relationship may be the result of geographically varying detection bias. Our results provide insights into ectotherm life history variation and fill critical data gaps, which will inform Eastern Massasauga conservation efforts by improving biological realism for models of population viability and climate change.",,,"Adamski, JM|Anton, TG|Bailey, RL|Baker, SJ|Bell, TA|Bieser, ND|Bissell, KM|Bradke, DR|Campa, H|Casper, GS|Cedar, K|Cross, MD|DeGregorio, BA|Dreslik, MJ|Faust, LJ|Harvey, DS|Hay, RW|Hileman, ET|Jellen, BC|Johnson, BD|Johnson, G|Kiel, BD|King, RB|Kingsbury, BA|Kowalski, MJ|Lee, YM|Lentini, AM|Marshall, JC|Mauger, D|Moore, JA|Paloski, RA|Phillips, CA|Pratt, PD|Preney, T|Prior, KA|Promaine, A|Redmer, M|Reinert, HK|Rouse, JD|Shoemaker, KT|Sutton, S|VanDeWalle, TJ|Weatherhead, PJ|Wynn, D|Yagi, A","Adamski, John M.|Anton, Thomas G.|Bailey, Robyn L.|Baker, Sarah J.|Bell, Thomas A., Jr.|Bieser, Nickolas D.|Bissell, Kristin M.|Bradke, Danielle R.|Campa, Henry, III|Casper, Gary S.|Cedar, Karen|Cross, Matthew D.|DeGregorio, Brett A.|Dreslik, Michael J.|Faust, Lisa J.|Harvey, Daniel S.|Hay, Robert W.|Hileman, Eric T.|Jellen, Benjamin C.|Johnson, Brent D.|Johnson, Glenn|Kiel, Brooke D.|King, Richard B.|Kingsbury, Bruce A.|Kowalski, Matthew J.|Lee, Yu Man|Lentini, Andrew M.|Marshall, John C.|Mauger, David|Moore, Jennifer A.|Paloski, Rori A.|Phillips, Christopher A.|Pratt, Paul D.|Preney, Thomas|Prior, Kent A.|Promaine, Andrew|Redmer, Michael|Reinert, Howard K.|Rouse, Jeremy D.|Shoemaker, Kevin T.|Sutton, Scott|VanDeWalle, Terry J.|Weatherhead, Patrick J.|Wynn, Doug|Yagi, Anne",,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1371/journal.pone.0172011,,,,,Clarivate Analytics Web of Science,,,,,,1932-6203,2,,,PLOS ONE,,,e0172011,RATTLESNAKE CROTALUS-VIRIDIS|SNAKE THAMNOPHIS-ELEGANS|BODY-SIZE VARIATION|BERGMANNS RULE|HABITAT SELECTION|REPRODUCTIVE STRATEGIES|ENDANGERED RATTLESNAKE|NORTHERN POPULATION|THERMAL ECOLOGY|SPATIAL ECOLOGY,-1,,,,14-Feb,J,2017,,,,,,Multidisciplinary Sciences,,-1,,Science & Technology - Other Topics,,3,Climatic and geographic predictors of life history variation in Eastern Massasauga (Sistrurus catenatus): A range-wide synthesis,3,,WOS:000394423900043,1,12,,28196149,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Hileman ET, 2017, V12, DOI 10.1371/journal.pone.0172011"
,,,"Aalsma, MC|Pate, MR|Schwartz, K|Tu, WZ","Aalsma, Matthew C.|Pate, Marilyn R.|Schwartz, Katherine|Tu, Wanzhu",S15,-1,,,,,,,-1,,-1,,,,,,,,Meeting Abstract,10.1016/j.jadohealth.2016.10.051,,,,S16,Clarivate Analytics Web of Science,,,,,,1054-139X,2,,,JOURNAL OF ADOLESCENT HEALTH,,28,,,-1,,,,FEB,J,2017,,,,,,"Psychology, Developmental|Public, Environmental & Occupational Health|Pediatrics",,-1,,"Psychology; Public, Environmental & Occupational Health; Pediatrics",,0,IMPROVING POLICE OFFICER KNOWLEDGE OF DEESCALATION SKILLS: A PILOT STUDY OF POLICING THE TEEN BRAIN,0,,WOS:000397270700029,1,60,1879-1972,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Schwartz K, 2017, V60, S15, DOI 10.1016/j.jadohealth.2016.10.051"
,,,"Aalsma, MC|Downs, SM|Etter, DJ|Gilbert, AL|Hall, JA|Ouyang, FQ|Tu, WZ|Williams, RL","Aalsma, Matthew C.|Downs, Stephen M.|Etter, Dillon J.|Gilbert, Amy L.|Hall, James A.|Ouyang, Fangqian|Tu, Wanzhu|Williams, Rebekah L.",S93,-1,,,,,,,-1,,-1,,,,,,,,Meeting Abstract,10.1016/j.jadohealth.2016.10.365,,,,S94,Clarivate Analytics Web of Science,,,,,,1054-139X,2,,,JOURNAL OF ADOLESCENT HEALTH,,172,,,-1,,,,FEB,J,2017,,,,,,"Psychology, Developmental|Public, Environmental & Occupational Health|Pediatrics",,-1,,"Psychology; Public, Environmental & Occupational Health; Pediatrics",1,0,USE OF AN ELECTRONIC SCREENER TO ASSESS ADOLESCENT SUICIDE RISK AND PROVIDER FOLLOW-UP IN A PRIMARY CARE SETTING,0,,WOS:000406846500174,1,60,1879-1972,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Etter DJ, 2017, V60, S93, DOI 10.1016/j.jadohealth.2016.10.365"
,,,"Aalsma, MC|Downs, SM|Etter, DJ|Gilbert, AL|Hall, JA|Ouyang, FQ|Tu, WZ|Williams, RL","Aalsma, Matthew C.|Downs, Stephen M.|Etter, Dillon J.|Gilbert, Amy L.|Hall, James A.|Ouyang, Fangqian|Tu, Wanzhu|Williams, Rebekah L.",S59,-1,,,,,,,-1,,-1,,,,,,,,Meeting Abstract,,,,,S60,Clarivate Analytics Web of Science,,,,,,1054-139X,2,,,JOURNAL OF ADOLESCENT HEALTH,,109,,,-1,,,,FEB,J,2017,,,,,,"Psychology, Developmental|Public, Environmental & Occupational Health|Pediatrics",,-1,,"Psychology; Public, Environmental & Occupational Health; Pediatrics",1,0,"ADOLESCENT CHARACTERISTICS, HEALTH RISK FACTORS AND PHYSICIAN TRAINING ASSOCIATED WITH PROVISION OF CONFIDENTIAL CONSULTATION IN PRIMARY CARE",0,,WOS:000406846500110,1,60,1879-1972,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"GIlbert AL, 2017, V60, S59"
,,,"Aalsma, MC|Pate, MR|Schwartz, K|Tu, WZ","Aalsma, Matthew C.|Pate, Marilyn R.|Schwartz, Katherine|Tu, Wanzhu",S15,-1,,,,,,,-1,,-1,,,,,,,,Meeting Abstract,,,,,S16,Clarivate Analytics Web of Science,,,,,,1054-139X,2,,,JOURNAL OF ADOLESCENT HEALTH,,28,,,-1,,,,FEB,J,2017,,,,,,"Psychology, Developmental|Public, Environmental & Occupational Health|Pediatrics",,-1,,"Psychology; Public, Environmental & Occupational Health; Pediatrics",1,0,IMPROVING POLICE OFFICER KNOWLEDGE OF DE-ESCALATION SKILLS: A PILOT STUDY OF POLICING THE TEEN BRAIN,0,,WOS:000406846500029,1,60,1879-1972,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Schwartz K, 2017, V60, S15"
"Background: Changing training paradigms in vascular surgery have been introduced to reduce overall training time. Herein, we sought to examine how shortened training for vascular surgeons may have influenced overall divisional academic productivity. Methods: Faculty from the top 55 surgery departments were identified according to National Institutes of Health (NIH) funding. Academic metrics of 315 vascular surgery, 1,132 general surgery, and 2,403 other surgical specialties faculty were examined using institutional Web sites, Scopus, and NIH Research Portfolio Online Reporting Tools from September 1, 2014, to January 31, 2015. Individual-level and aggregate numbers of publications, citations, and NIH funding were determined. Results: The mean size of the vascular divisions was 5 faculty. There was no correlation between department size and academic productivity of individual faculty members (R-2 = 0.68, P = 0.2). Overall percentage of vascular surgery faculty with current or former NIH funding was 20%, of which 10.8% had major NIH grants (R01/U01/P01). Vascular surgery faculty associated with integrated vascular training programs demonstrated significantly greater academic productivity. Publications and citations were higher for vascular surgery faculty from institutions with both integrated and traditional training programs (48 of 1,051) compared to those from programs with integrated training alone (37 of 485) or traditional fellowships alone (26 of 439; P < 0.05). Conclusions: In this retrospective examination, academic productivity was improved within vascular surgery divisions with integrated training programs or both program types. These data suggest that the earlier specialization of integrated residencies in addition to increasing dedicated vascular training time may actually help promote research within the field of vascular surgery.",,,"Bell, TM|Davies, MG|Kim, BJ|Koniaris, LG|Liang, TW|Murphy, MP|Valsangkar, NP|Zimmers, TA","Bell, Teresa M.|Davies, Mark G.|Kim, Bradford J.|Koniaris, Leonidas G.|Liang, Tiffany W.|Murphy, Michael P.|Valsangkar, Nakul P.|Zimmers, Teresa A.",242,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.avsg.2016.06.031,,,,249,Clarivate Analytics Web of Science,,,,,,0890-5096,,,,ANNALS OF VASCULAR SURGERY,,,,TRAINING-PROGRAMS|APPLICANT POOL|UNITED-STATES|DEPARTMENTS,-1,"Liang, Tiffany/0000-0002-3282-1757",,,FEB,J,2017,,,,,,Surgery|Peripheral Vascular Disease,,-1,,Surgery; Cardiovascular System & Cardiology,,0,Impact of Integrated Vascular Residencies on Academic Productivity within Vascular Surgery Divisions,0,,WOS:000397010900027,1,39,1615-5947,27671458,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Kim BJ, 2017, V39, P242, DOI 10.1016/j.avsg.2016.06.031"
"Psychometric testing of the Shared Vision (SV) scale that measures team efforts toward common patient-centered goals was initially estimated among rural hospital nurse executives. The purpose of this study was to estimate the scale's reliability (internal consistency), convergent validity (Pearson correlation with Practice Environment Scale), and structural validity (ordinal confirmatory factor analysis) among acute care Magnet((R)) hospital nurses. The study sample included 289 nurses from 27 acute care Magnet (R) hospitals. The scale demonstrated acceptable estimates for internal consistency (Cronbach's = .902, 95% confidence interval [CI] = [0.883, 0.919]), convergent validity (r = .720, p < .001), and structural validity with a one-factor structure. The findings of this study supported the reliability and validity of the SV scale as a unidimensional construct in measuring SV among nurses in acute care Magnet (R) hospitals. Further testing among different nursing providers and health care settings is needed to accumulate evidence and expand use of the instrument.",,,"Johantgen, M|Liu, W|Newhouse, RP","Johantgen, Meg|Liu, Wen|Newhouse, Robin P.",305,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1177/0193945916651835,,,,318,Clarivate Analytics Web of Science,,,,,,0193-9459,2,,,WESTERN JOURNAL OF NURSING RESEARCH,,,,PRACTICE ENVIRONMENT SCALE|FIT INDEXES|QUALITY,-1,"Liu, Wen/0000-0002-1491-7384",ordinal confirmatory factor analysis|Magnet (R) hospitals|nurses|psychometric testing|shared vision,,FEB,J,2017,,,,,,Nursing,,-1,,Nursing,,1,Shared Vision Among Acute Care Magnet (R) Hospital Nurses: Ordinal Confirmatory Factor Analysis,1,,WOS:000394896000007,1,39,1552-8456,27256344,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Liu W, 2017, V39, P305, DOI 10.1177/0193945916651835"
